brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
恒天,中大型SUV,1,汽油,92,2023-08-02,2023,8,Q3,25.8,,,4.6,288.0,V8,0,6.0,AT,5,5,SUV,5门2/5座SUV
恒天,中大型SUV,1,汽油,92,2023-08-02,2023,8,Q3,32.88,,,4.6,288.0,V8,0,6.0,AT,5,5,SUV,5门5座SUV
恒天,中大型SUV,1,汽油,92,2023-08-02,2023,8,Q3,36.88,,,4.6,288.0,V8,0,6.0,AT,5,7,SUV,5门7座SUV
恒天,中大型SUV,1,汽油,92,2023-08-02,2023,8,Q3,49.88,,,4.6,288.0,V8,0,6.0,AT,5,7,SUV,5门5/7座SUV
名爵,小型SUV,0,纯电动,0,2019-03-30,2019,3,Q1,11.98,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
名爵,小型SUV,0,纯电动,0,2019-03-30,2019,3,Q1,12.98,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
名爵,小型SUV,0,纯电动,0,2019-03-30,2019,3,Q1,13.98,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
名爵,小型SUV,0,纯电动,0,2019-03-30,2019,3,Q1,14.98,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
江铃集团新能源,微型车,0,纯电动,0,2025-01-13,2025,1,Q1,6.28,3,6.0,,,,0,,,5,4,HATCHBACK,5门4座两厢车
江铃集团新能源,微型车,0,纯电动,0,2025-01-13,2025,1,Q1,6.68,3,6.0,,,,0,,,5,4,HATCHBACK,5门4座两厢车
奔腾,小型SUV,0,纯电动,0,2018-09-19,2018,9,Q3,18.38,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
奔腾,小型SUV,0,纯电动,0,2019-12-20,2019,12,Q4,18.78,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
奔腾,小型SUV,0,纯电动,0,2018-09-19,2018,9,Q3,18.98,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
奔腾,小型SUV,0,纯电动,0,2019-12-20,2019,12,Q4,19.38,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
东风,紧凑型车,0,纯电动,0,2018-09-25,2018,9,Q3,22.88,3,12.0,,,,0,,,4,5,SEDAN,4门5座三厢车
领途汽车,小型SUV,0,纯电动,0,2018-12-06,2018,12,Q4,17.58,,,,,,0,,,5,5,SUV,5门5座SUV
领途汽车,小型SUV,0,纯电动,0,2018-12-06,2018,12,Q4,19.58,,,,,,0,,,5,5,SUV,5门5座SUV
领途汽车,小型SUV,0,纯电动,0,2018-12-06,2018,12,Q4,20.58,,,,,,0,,,5,5,SUV,5门5座SUV
领途汽车,小型SUV,0,纯电动,0,2018-12-06,2018,12,Q4,21.58,,,,,,0,,,5,5,SUV,5门5座SUV
大众,中型车,1,汽油,95,2025-10-10,2025,10,Q4,17.49,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-10-10,2025,10,Q4,17.69,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-11-26,2025,11,Q4,17.99,3,10.0,1.5,160.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-11-26,2025,11,Q4,18.99,3,10.0,1.5,160.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2026-04-01,2026,4,Q2,19.49,3,10.0,2.0,186.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-10-10,2025,10,Q4,20.69,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-11-26,2025,11,Q4,20.99,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2026-03-31,2026,3,Q1,21.63,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-11-26,2025,11,Q4,22.59,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-11-26,2025,11,Q4,24.69,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-05-29,2025,5,Q2,17.69,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-10-22,2024,10,Q4,17.49,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-05-29,2025,5,Q2,20.69,3,10.0,2.0,186.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-02-25,2025,2,Q1,17.69,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-02-25,2025,2,Q1,20.69,3,10.0,2.0,186.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2025-01-09,2025,1,Q1,17.69,3,10.0,1.4,150.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-10-22,2024,10,Q4,20.69,3,10.0,2.0,186.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-07-09,2024,7,Q3,17.99,3,10.0,1.5,160.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-07-09,2024,7,Q3,18.99,3,10.0,1.5,160.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-07-09,2024,7,Q3,20.99,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-07-09,2024,7,Q3,22.59,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
大众,中型车,1,汽油,95,2024-07-09,2024,7,Q3,24.69,3,10.0,2.0,220.0,L4,0,7.0,DCT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,20.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2026-04-02,2026,4,Q2,21.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
