
=== 基础统计 ===

--- 品牌Top10 ---
克莱斯勒,中型车,18.2,22.7,20.58,4
起亚,中型车,12.28,32.46,20.0,36
别克,中型车,15.98,23.99,19.63,4
红旗,中型车,8.98,23.98,18.6,50
现代,中型车,11.48,33.28,18.4,48
日产,中型车,10.39,32.8,18.25,31
力帆汽车,中型车,7.68,27.98,17.32,9
三菱,中型车,14.98,19.98,17.28,4
雪佛兰,中型车,10.89,21.99,16.9,15
领克,中型车,15.58,17.58,16.83,4
马自达,中型车,11.98,23.98,16.72,27
荣威,中型车,9.78,25.59,16.36,25
名爵,中型车,12.59,17.89,15.46,11
灵悉,中型车,14.98,15.58,15.28,2
瑞麒,中型车,9.98,25.98,15.23,10
深蓝汽车,中型车,12.59,17.09,14.93,27
中华,中型车,10.88,25.28,14.92,11
广汽传祺,中型车,10.88,21.93,14.81,9
华泰,中型车,11.97,17.67,14.77,12
吉利汽车,中型车,8.89,20.98,14.03,11
比亚迪,中型车,7.98,23.98,13.18,76
奔腾,中型车,9.88,19.98,12.99,17
ARCFOX极狐,中型车,8.48,17.78,12.99,24
北京汽车,中型车,7.99,19.18,12.91,22
江汽集团,中型车,9.18,18.95,12.58,9
领汇,中型车,9.58,14.58,12.24,10
吉利银河,中型车,8.98,15.08,11.84,22
长安,中型车,8.69,15.08,11.82,10
五菱汽车,中型车,7.98,16.98,10.81,16
宝骏,中型车,8.48,12.38,10.31,6
奇瑞,中型车,7.58,13.58,10.13,11
众泰,中型车,7.58,14.08,9.96,24
海马,中型车,6.98,12.98,9.26,6
博速,中大型MPV,212.2,221.8,216.07,3
迈莎锐,中大型MPV,69.8,188.8,140.25,26
雷克萨斯,中大型MPV,119.9,155.0,133.3,6
LUMMA,中大型MPV,128.0,138.0,131.33,3
卡升,中大型MPV,108.0,158.0,129.25,8
盛唐,中大型MPV,108.8,148.8,128.82,5
AM晓澳,中大型MPV,78.8,168.8,127.88,12
维努斯,中大型MPV,68.8,198.8,125.42,18
巴菲特汽车,中大型MPV,108.8,138.8,123.8,4
LIMGENE凌际,中大型MPV,68.8,146.2,120.57,12
普曼·巅峰,中大型MPV,108.0,128.0,118.0,3
拓锐斯特,中大型MPV,76.8,149.8,117.7,10
焜驰,中大型MPV,65.8,168.0,113.25,10
雅升汽车,中大型MPV,69.8,168.8,113.06,34
铂驰,中大型MPV,78.8,128.8,112.55,4
上喆,中大型MPV,77.0,138.8,111.15,8
Lorinser罗伦士,中大型MPV,36.8,198.8,110.39,26
龙程汽车,中大型MPV,78.8,138.0,108.4,4
智锐汽车,中大型MPV,76.0,120.8,107.5,12
莱茵汽车,中大型MPV,66.0,138.0,107.1,6
伟昊汽车,中大型MPV,96.8,118.8,106.3,6
AUXUN傲旋,中大型MPV,45.88,158.0,105.09,14
北汽泰普,中大型MPV,62.8,138.8,101.69,7
拉帝,中大型MPV,68.8,128.8,101.3,4
新凯,中大型MPV,90.8,108.0,98.93,3
恒信致远,中大型MPV,69.8,118.8,98.55,4
克蒂汽车,中大型MPV,26.98,198.8,97.07,65
魁士,中大型MPV,58.8,118.8,91.8,11
WALD,中大型MPV,71.8,108.8,91.0,5
车驰汽车,中大型MPV,75.8,118.0,90.6,3
礼骊汽车,中大型MPV,65.0,112.8,88.44,5
金冠汽车,中大型MPV,34.8,118.0,88.32,12
克慕勒,中大型MPV,42.99,138.8,87.4,16
卡驰汽车,中大型MPV,75.8,89.8,83.8,3
沃尔沃,中大型MPV,81.8,81.8,81.8,2
赫菲特汽车,中大型MPV,49.8,95.8,77.8,9
瑞一汽车,中大型MPV,56.8,59.8,58.3,2
极氪,中大型MPV,43.9,89.9,54.01,11
奔驰,中大型MPV,33.0,86.8,51.79,19
金龙礼宾,中大型MPV,48.88,53.88,51.38,2
丰田,中大型MPV,29.98,92.9,49.08,36
仁拓博歌,中大型MPV,46.98,50.98,48.98,2
智界,中大型MPV,38.98,51.98,44.98,4
红旗,中大型MPV,33.88,57.88,44.1,18
吉利银河,中大型MPV,29.99,59.99,42.39,5
腾势,中大型MPV,30.98,60.06,39.94,23
岚图汽车,中大型MPV,30.99,70.99,39.62,36
珑致,中大型MPV,38.8,39.8,39.3,2
别克,中大型MPV,19.99,69.99,38.78,27
克莱斯勒,中大型MPV,24.9,49.69,37.82,5
迈越,中大型MPV,36.28,39.28,37.78,2
合创汽车,中大型MPV,31.88,43.88,36.98,5
大众,中大型MPV,28.98,50.68,35.92,12
钧天,中大型MPV,24.8,46.8,33.8,3
小鹏,中大型MPV,30.98,36.98,33.03,8
广汽传祺,中大型MPV,18.98,40.99,32.05,15
魏牌,中大型MPV,27.28,35.38,31.44,5
起亚,中大型MPV,27.18,34.18,30.92,9
道奇,中大型MPV,23.9,33.9,28.9,3
大通,中大型MPV,10.8,89.38,28.77,38
华颂,中大型MPV,23.77,28.77,26.1,3
ARCFOX极狐,中大型MPV,21.48,26.98,24.81,4
双龙,中大型MPV,21.98,26.98,24.65,3
比亚迪,中大型MPV,20.68,27.78,24.29,7
奔腾,中大型MPV,22.98,24.98,23.75,3
荣威,中大型MPV,18.58,31.98,23.5,13
现代,中大型MPV,16.98,24.98,20.25,14
远程,中大型MPV,16.99,22.99,19.74,4
江淮瑞风,中大型MPV,9.58,36.99,19.12,49
东风风行,中大型MPV,8.99,35.99,17.4,60
北京汽车制造厂,中大型MPV,5.98,27.98,13.49,184
领途汽车,中大型MPV,7.28,17.28,12.91,6
五菱汽车,中大型MPV,6.98,15.58,11.13,11
凯翼,中大型MPV,10.29,10.39,10.34,4
博速,中大型SUV,125.8,698.0,411.9,2
迈莎锐,中大型SUV,168.8,598.0,410.32,5
宾利,中大型SUV,263.0,428.8,321.13,10
兰博基尼,中大型SUV,294.11,329.73,304.49,4
