品牌,基本参数_级别,基本参数_能源类型,基本参数_上市时间,基本参数_车身结构,基本参数_厂商指导价(元),基本参数_整车质保,基本参数_变速箱,基本参数_发动机,车身_车身结构,发动机_燃油标号
东风奕派,中大型SUV,纯电动,2025-10-16,5门5座SUV,18.16万,三年或10万公里,电动车单速变速箱,-,SUV,-
东风奕派,中大型SUV,纯电动,2025-08-01,5门6座SUV,19.36万,三年或10万公里,电动车单速变速箱,-,SUV,-
东风奕派,中大型SUV,纯电动,2025-08-01,5门6座SUV,20.36万,三年或10万公里,电动车单速变速箱,-,SUV,-
东风奕派,中大型SUV,增程式,2025-03-01,5门5座SUV,18.36万,三年或10万公里,电动车单速变速箱,1.5T 147马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2025-11-30,5门5座SUV,29.58万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2024-08-20,5门5座SUV,25.98万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2024-08-20,5门5座SUV,27.98万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2024-08-20,5门7座SUV,28.58万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2025-04-03,5门5座SUV,30.18万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,2025-04-03,5门5座SUV,30.48万,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
北京越野,中大型SUV,增程式,-,5门5座SUV,-,五年或15万公里,电动车单速变速箱,1.5T 188马力 L4,SUV,92号
长安欧尚,紧凑型SUV,插电式混合动力,2023-06-01,5门5座SUV,15.58万,三年或12万公里,6挡三离合电驱变速器,1.5T 170马力 L4,SUV,92号
长安欧尚,紧凑型SUV,插电式混合动力,2023-06-01,5门5座SUV,16.58万,三年或12万公里,6挡三离合电驱变速器,1.5T 170马力 L4,SUV,92号
长安欧尚,紧凑型SUV,插电式混合动力,2023-06-01,5门5座SUV,17.58万,三年或12万公里,6挡三离合电驱变速器,1.5T 170马力 L4,SUV,92号
奔驰,中型车,汽油+48V轻混系统,2025-11-14,4门5座三厢车,30.46万,三年不限公里,9挡手自一体,2.0T 170马力 L4,三厢车,95号
奔驰,中型车,汽油+48V轻混系统,2025-11-14,4门5座三厢车,32.16万,三年不限公里,9挡手自一体,2.0T 204马力 L4,三厢车,95号
奔驰,中型车,汽油+48V轻混系统,2025-11-14,4门5座三厢车,32.46万,三年不限公里,9挡手自一体,2.0T 204马力 L4,三厢车,95号
奔驰,中型车,汽油+48V轻混系统,2025-11-14,4门5座三厢车,32.46万,三年不限公里,9挡手自一体,2.0T 204马力 L4,三厢车,95号
奔驰,中型车,汽油+48V轻混系统,2025-11-14,4门5座三厢车,34.56万,三年不限公里,9挡手自一体,2.0T 204马力 L4,三厢车,95号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,17.98万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,18.98万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,20.28万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,19.18万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2026-01-07,4门5座三厢车,19.48万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,20.48万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,20.68万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2026-04-08,4门5座三厢车,20.98万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,21.18万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,汽油,2025-07-29,4门5座三厢车,17.18万,三年或10万公里,CVT无级变速(模拟10挡),2.0L 173马力 L4,三厢车,92号
丰田,中型车,汽油,2025-07-29,4门5座三厢车,18.18万,三年或10万公里,CVT无级变速(模拟10挡),2.0L 173马力 L4,三厢车,92号
丰田,中型车,汽油,2025-07-29,4门5座三厢车,19.18万,三年或10万公里,CVT无级变速(模拟10挡),2.0L 173马力 L4,三厢车,92号
丰田,中型车,汽油,2025-07-29,4门5座三厢车,19.68万,三年或10万公里,CVT无级变速(模拟10挡),2.0L 173马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,22.28万,三年或10万公里,E-CVT无级变速,2.5L 185马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,22.68万,三年或10万公里,E-CVT无级变速,2.5L 185马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,25.98万,三年或10万公里,E-CVT无级变速,2.5L 185马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-07-29,4门5座三厢车,20.58万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2024-12-21,4门5座三厢车,20.28万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2024-12-21,4门5座三厢车,21.18万,三年或10万公里,E-CVT无级变速,2.0L 152马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-04-09,4门5座三厢车,21.98万,三年或10万公里,E-CVT无级变速,2.5L 185马力 L4,三厢车,92号
丰田,中型车,油电混合,2025-04-09,4门5座三厢车,22.68万,三年或10万公里,E-CVT无级变速,2.5L 185马力 L4,三厢车,92号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,36.80万,三年或10万公里,8挡手自一体,2.0T 190马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,36.80万,三年或10万公里,8挡手自一体,2.0T 190马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,40.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,40.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-03-03,4门5座三厢车,41.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,42.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,44.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
宝马,中大型车,汽油+48V轻混系统,2026-02-02,4门5座三厢车,44.80万,三年或10万公里,8挡手自一体,2.0T 258马力 L4,三厢车,95号
奇瑞,紧凑型SUV,汽油,2026-04-08,5门5座SUV,7.99万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2026-04-08,5门5座SUV,8.49万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2026-04-08,5门5座SUV,9.19万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-06-17,5门5座SUV,8.79万,三年或10万公里,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-06-17,5门5座SUV,9.79万,三年或10万公里,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-03-05,5门5座SUV,7.49万,三年或10万公里,6挡手动,1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-03-05,5门5座SUV,8.99万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-03-05,5门5座SUV,9.69万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
奇瑞,紧凑型SUV,汽油,2025-05-16,5门5座SUV,9.39万,三年或10万公里,CVT无级变速(模拟9挡),1.5T 156马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2026-02-28,5门5座SUV,11.89万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2026-02-28,5门5座SUV,12.89万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2026-02-28,5门5座SUV,13.59万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2025-05-28,5门5座SUV,12.69万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2025-05-28,5门5座SUV,13.39万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2025-02-10,5门5座SUV,12.49万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2024-03-28,5门5座SUV,11.79万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
长安,紧凑型SUV,插电式混合动力,2024-03-28,5门5座SUV,13.19万,三年或12万公里,E-CVT无级变速,1.5L 98马力 L4,SUV,92号
坦克,中大型SUV,柴油,2025-11-06,5门5座SUV,26.48万,五年或15万公里,9挡手自一体,2.4T 186马力 L4,SUV,0号
坦克,中大型SUV,汽油+48V轻混系统,2025-11-06,5门5座SUV,24.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,汽油+48V轻混系统,2025-12-04,5门5座SUV,27.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,汽油+48V轻混系统,2025-02-22,5门5座SUV,24.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,柴油,2025-02-22,5门5座SUV,26.48万,五年或15万公里,9挡手自一体,2.4T 186马力 L4,SUV,0号
坦克,中大型SUV,汽油+48V轻混系统,2025-02-24,5门5座SUV,27.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
大众,紧凑型SUV,纯电动,2025-08-26,5门5座SUV,14.99万,三年或10万公里,,,SUV,
大众,紧凑型SUV,纯电动,2025-08-26,5门5座SUV,18.59万,三年或10万公里,,,SUV,
大众,紧凑型SUV,纯电动,2025-08-26,5门5座SUV,20.76万,三年或10万公里,,,SUV,
名爵,紧凑型车,纯电动,2025-08-29,5门5座两厢车,6.88万,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,2025-08-29,5门5座两厢车,7.68万,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,2025-08-29,5门5座两厢车,8.38万,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,2025-08-29,5门5座两厢车,9.68万,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,2025-08-29,5门5座两厢车,10.28万,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
名爵,紧凑型车,纯电动,-,5门5座两厢车,-,六年或15万公里,,,两厢车,
坦克,中大型SUV,插电式混合动力,2025-11-06,5门5座SUV,28.58万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,插电式混合动力,2025-11-06,5门5座SUV,29.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,插电式混合动力,2025-11-06,5门5座SUV,31.98万,五年或15万公里,3挡DHT,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,插电式混合动力,2024-03-22,5门5座SUV,28.58万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
坦克,中大型SUV,插电式混合动力,2024-03-22,5门5座SUV,28.98万,五年或15万公里,9挡手自一体,2.0T 252马力 L4,SUV,92号
五菱汽车,紧凑型MPV,油电混合,2023-02-27,5门6座MPV,12.98万,三年或10万公里,1挡DHT,2.0L 136马力 L4,MPV,92号
五菱汽车,紧凑型MPV,油电混合,2023-02-27,5门6座MPV,13.98万,三年或10万公里,1挡DHT,2.0L 136马力 L4,MPV,92号
五菱汽车,紧凑型MPV,油电混合,2023-02-27,5门6座MPV,14.98万,三年或10万公里,1挡DHT,2.0L 136马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2023-11-28,5门6座MPV,10.98万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 177马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2023-11-28,5门6座MPV,11.98万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 177马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,8.58万,三年或10万公里,6挡手动,1.5T 147马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,9.58万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 147马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,10.68万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 147马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,11.68万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 147马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,12.58万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 177马力 L4,MPV,92号
五菱汽车,紧凑型MPV,汽油,2022-09-19,5门6座MPV,11.58万,三年或10万公里,CVT无级变速(模拟8挡),1.5T 177马力 L4,MPV,92号
零跑汽车,中大型SUV,增程式,2025-06-18,5门6座SUV,15.18万,四年或12万公里,电动车单速变速箱,增程器 95马力,SUV,92号
零跑汽车,中大型SUV,增程式,2025-06-18,5门6座SUV,16.18万,四年或12万公里,电动车单速变速箱,增程器 95马力,SUV,92号
零跑汽车,中大型SUV,增程式,2025-06-18,5门6座SUV,17.18万,四年或12万公里,电动车单速变速箱,增程器 95马力,SUV,92号
零跑汽车,中大型SUV,增程式,-,5门5座SUV,16.88万,四年或12万公里,电动车单速变速箱,增程器 95马力,SUV,92号
零跑汽车,中大型SUV,纯电动,2025-06-18,5门6座SUV,16.18万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2025-06-18,5门6座SUV,17.18万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2025-06-18,5门6座SUV,18.18万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2025-06-18,5门5座SUV,17.88万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,增程式,2024-06-28,5门6座SUV,15.58万,四年或12万公里,电动车单速变速箱,1.5L 95马力 L4,SUV,92号
零跑汽车,中大型SUV,增程式,2024-06-28,5门6座SUV,16.28万,四年或12万公里,电动车单速变速箱,1.5L 95马力 L4,SUV,92号
零跑汽车,中大型SUV,增程式,2024-06-28,5门6座SUV,17.98万,四年或12万公里,电动车单速变速箱,1.5L 95马力 L4,SUV,92号
零跑汽车,中大型SUV,纯电动,2024-06-28,5门6座SUV,16.18万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2024-06-28,5门6座SUV,16.88万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2024-06-28,5门6座SUV,18.58万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2025-01-06,5门6座SUV,17.28万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,纯电动,2025-01-06,5门6座SUV,18.98万,四年或12万公里,电动车单速变速箱,-,SUV,-
零跑汽车,中大型SUV,增程式,-,5门6座SUV,-,四年或12万公里,电动车单速变速箱,增程器 95马力,SUV,92号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门7座SUV,37.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门7座SUV,38.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门7座SUV,42.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门6座SUV,44.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门6座SUV,47.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
英菲尼迪,中大型SUV,汽油,2023-11-01,5门6座SUV,51.88万,四年或10万公里,9挡手自一体,2.0T 252马力 L4,SUV,95号
本田,中型车,插电式混合动力,2025-03-20,4门5座三厢车,23.88万,三年或10万公里,E-CVT无级变速,2.0L 148马力 L4,三厢车,92号
极氪,中大型车,纯电动,2025-10-11,5门5座掀背车,26.98万,四年或10万公里,,,掀背车,
极氪,中大型车,纯电动,2025-10-11,5门5座掀背车,26.98万,四年或10万公里,,,掀背车,
极氪,中大型车,纯电动,2025-10-11,5门5座掀背车,29.98万,四年或10万公里,,,掀背车,
极氪,中大型车,纯电动,2025-10-11,5门5座掀背车,32.98万,四年或10万公里,,,掀背车,
极氪,中大型车,纯电动,2026-04-10,5门5座掀背车,36.50万,四年或10万公里,,,掀背车,
长安,紧凑型SUV,汽油,2025-10-23,5门5座SUV,10.89万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-10-23,5门5座SUV,11.69万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-05-10,5门5座SUV,12.19万,三年或10万公里,8挡手自一体,1.5T 188马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-05-10,5门5座SUV,12.99万,三年或10万公里,8挡手自一体,1.5T 188马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-03-01,5门5座SUV,11.39万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-07-17,5门5座SUV,11.59万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2024-09-24,5门5座SUV,12.19万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2024-09-24,5门5座SUV,12.99万,三年或10万公里,8挡自动,1.5T 192马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-04-18,5门5座SUV,13.19万,三年或10万公里,8挡自动,2.0T 233马力 L4,SUV,92号
长安,紧凑型SUV,汽油,2025-04-18,5门5座SUV,13.99万,三年或10万公里,8挡自动,2.0T 233马力 L4,SUV,92号
长安,紧凑型SUV,油电混合,-,5门5座SUV,-,三年或10万公里,1挡DHT,1.5T 150马力 L4,SUV,92号
本田,紧凑型SUV,插电式混合动力,2024-10-16,5门5座SUV,22.59万,三年或10万公里,E-CVT无级变速,2.0L 150马力 L4,SUV,92号
本田,紧凑型SUV,插电式混合动力,2024-10-16,5门5座SUV,24.89万,三年或10万公里,E-CVT无级变速,2.0L 150马力 L4,SUV,92号
本田,紧凑型SUV,插电式混合动力,2024-10-16,5门5座SUV,26.99万,三年或10万公里,E-CVT无级变速,2.0L 150马力 L4,SUV,92号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,8.79万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,9.79万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,9.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,10.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,9.59万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,10.69万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,10.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,11.29万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-10-15,5门5座SUV,12.19万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-04-17,5门5座SUV,9.79万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2025-04-17,5门5座SUV,10.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,8.79万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,9.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,9.59万,三年或10万公里,5挡手动,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,10.69万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,10.89万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,11.29万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
捷达,紧凑型SUV,汽油,2024-04-25,5门5座SUV,12.19万,三年或10万公里,6挡手自一体,1.4T 150马力 L4,SUV,95号
魏牌,中大型MPV,插电式混合动力,2025-10-15,5门7座MPV,28.58万,六年或15万公里,4挡DHT,1.5T 170马力 L4,MPV,92号
魏牌,中大型MPV,插电式混合动力,2025-05-13,5门7座MPV,30.98万,六年或15万公里,4挡DHT,1.5T 170马力 L4,MPV,92号
魏牌,中大型MPV,插电式混合动力,2025-05-13,5门6座MPV,35.38万,六年或15万公里,4挡DHT,1.5T 170马力 L4,MPV,92号
魏牌,中大型MPV,插电式混合动力,2025-09-10,5门6座MPV,34.98万,六年或15万公里,4挡DHT,1.5T 170马力 L4,MPV,92号
smart,紧凑型SUV,纯电动,2025-07-11,5门5座SUV跨界车,16.49万,四年或15万公里,,,SUV跨界车,
smart,紧凑型SUV,纯电动,2025-07-11,5门5座SUV跨界车,18.49万,四年或15万公里,,,SUV跨界车,
smart,紧凑型SUV,纯电动,2026-01-24,5门5座SUV跨界车,18.99万,四年或15万公里,,,SUV跨界车,
smart,紧凑型SUV,纯电动,2025-07-11,5门5座SUV跨界车,20.99万,四年或15万公里,,,SUV跨界车,
smart,紧凑型SUV,纯电动,2025-07-11,5门5座SUV跨界车,25.99万,四年或15万公里,,,SUV跨界车,
iCAR,紧凑型SUV,纯电动,2025-09-21,5门5座SUV,12.28万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-09-21,5门5座SUV,13.88万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-09-21,5门5座SUV,15.88万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-09-21,5门5座SUV,15.48万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-09-21,5门5座SUV,17.48万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-12-16,5门5座SUV,10.98万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-01-06,5门5座SUV,11.98万,五年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-12-30,5门5座SUV,13.98万,五年或12万公里,,,SUV,
小鹏,中大型车,纯电动,2026-03-18,5门5座掀背车,20.38万,五年或12万公里,,,掀背车,
小鹏,中大型车,纯电动,2026-03-18,5门5座掀背车,22.38万,五年或12万公里,,,掀背车,
小鹏,中大型车,纯电动,2026-03-18,5门5座掀背车,24.38万,五年或12万公里,,,掀背车,
小鹏,中大型车,纯电动,2025-08-27,5门5座掀背车,30.18万,五年或12万公里,,,掀背车,
东风风神,紧凑型车,汽油,-,4门5座三厢车,7.79万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,-,4门5座三厢车,8.59万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2026-03-11,4门5座三厢车,8.39万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-05-22,4门5座三厢车,9.39万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-02-21,4门5座三厢车,10.68万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-08-23,4门5座三厢车,11.18万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-09-15,4门5座三厢车,10.68万,三年或10万公里,6挡湿式双离合,1.5T 197马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-05-14,4门5座三厢车,7.79万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2025-05-14,4门5座三厢车,8.59万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2024-01-19,4门5座三厢车,7.79万,三年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2024-06-18,4门5座三厢车,8.29万,一年或10万公里,5挡手动,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2024-06-18,4门5座三厢车,8.69万,一年或10万公里,6挡湿式双离合,1.5L 125马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2024-01-19,4门5座三厢车,8.79万,三年或10万公里,6挡湿式双离合,1.5T 197马力 L4,三厢车,92号
东风风神,紧凑型车,汽油,2022-08-26,4门5座三厢车,6.49万,三年或10万公里,5挡手动,1.5L 125马力 L4,三厢车,92号
雪佛兰,中型SUV,汽油,2023-05-08,5门5座SUV,18.49万,三年或10万公里,6挡手自一体,1.5T 169马力 L4,SUV,92号
雪佛兰,中型SUV,汽油,2023-05-08,5门5座SUV,19.49万,三年或10万公里,6挡手自一体,1.5T 169马力 L4,SUV,92号
