品牌,基本参数_级别,基本参数_能源类型,基本参数_上市时间,基本参数_车身结构,基本参数_厂商指导价(元),基本参数_整车质保,基本参数_变速箱,基本参数_发动机,车身_车身结构,发动机_燃油标号
吉利汽车,紧凑型SUV,汽油,2025-03-20,5门5座SUV,15.67万,五年或15万公里,8挡手自一体,2.0T 238马力 L4,SUV,95号
吉利汽车,紧凑型SUV,油电混合,2024-03-08,5门5座SUV,15.97万,五年或15万公里,3挡DHT,1.5T 163马力 L4,SUV,92号
吉利汽车,紧凑型SUV,油电混合,2023-12-03,5门5座SUV,16.77万,五年或15万公里,3挡DHT,1.5T 163马力 L4,SUV,92号
吉利汽车,紧凑型SUV,油电混合,2023-12-03,5门5座SUV,17.77万,五年或15万公里,3挡DHT,1.5T 163马力 L4,SUV,92号
吉利汽车,紧凑型SUV,汽油,2024-03-06,5门5座SUV,14.77万,五年或15万公里,7挡湿式双离合,2.0T 218马力 L4,SUV,95号
吉利汽车,紧凑型SUV,汽油,2023-09-17,5门5座SUV,15.77万,五年或15万公里,8挡手自一体,2.0T 238马力 L4,SUV,95号
吉利汽车,紧凑型SUV,汽油,2023-09-17,5门5座SUV,16.87万,五年或15万公里,8挡手自一体,2.0T 238马力 L4,SUV,95号
吉利汽车,紧凑型SUV,油电混合,-,5门5座SUV,14.87万,五年或15万公里,1挡DHT,1.5T 163马力 L4,SUV,92号
吉利汽车,紧凑型SUV,油电混合,-,5门5座SUV,15.67万,五年或15万公里,1挡DHT,1.5T 163马力 L4,SUV,92号
吉利汽车,紧凑型SUV,油电混合,-,5门5座SUV,16.27万,五年或15万公里,1挡DHT,1.5T 163马力 L4,SUV,92号
荣威,中型SUV,汽油,2023-03-02,5门6座SUV,17.58万,-,9挡自动,2.0T 242马力 L4,SUV,92号
荣威,中型SUV,汽油,2023-03-02,5门6座SUV,18.98万,-,9挡自动,2.0T 242马力 L4,SUV,92号
荣威,中型SUV,汽油,2023-03-02,5门6座SUV,20.98万,-,9挡自动,2.0T 242马力 L4,SUV,92号
荣威,中型SUV,汽油,2023-03-02,5门6座SUV,21.98万,-,9挡自动,2.0T 242马力 L4,SUV,92号
荣威,中型SUV,汽油,2023-03-02,5门6座SUV,24.38万,-,9挡手自一体,2.0T 242马力 L4,SUV,92号
别克,中大型MPV,插电式混合动力,2025-08-26,5门7座MPV,33.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2025-08-26,5门7座MPV,36.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2025-08-26,5门7座MPV,39.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2026-03-29,5门7座MPV,22.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2025-04-22,5门7座MPV,24.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2025-04-22,5门7座MPV,26.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
别克,中大型MPV,插电式混合动力,2025-04-22,5门7座MPV,28.99万,三年或10万公里,2挡DHT,1.5T 180马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-10,5门7座MPV,29.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,32.48万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,33.58万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,34.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,35.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,35.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,36.48万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,36.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,36.98万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
丰田,中大型MPV,油电混合,2025-09-03,5门7座MPV,39.38万,三年或10万公里,E-CVT无级变速,2.5L 189马力 L4,MPV,92号
北京汽车,中型SUV,汽油,2025-07-14,5门5座SUV,11.99万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2024-03-26,5门5座SUV,12.99万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2024-12-10,5门5座SUV,13.69万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2023-04-16,5门5座SUV,11.99万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2023-04-16,5门5座SUV,12.99万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2023-09-14,5门5座SUV,12.49万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
北京汽车,中型SUV,汽油,2023-04-16,5门5座SUV,13.99万,-,7挡湿式双离合,1.5T 188马力 L4,SUV,92号
吉利银河,中大型车,插电式混合动力,2026-03-30,4门5座三厢车,14.28万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2026-03-30,4门5座三厢车,15.18万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2026-03-30,4门5座三厢车,16.18万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2026-03-30,4门5座三厢车,17.28万,六年或15万公里,3挡DHT,1.5T 163马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,12.58万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,13.18万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,13.58万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,14.18万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,15.18万,六年或15万公里,1挡DHT,1.5L 112马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,15.48万,六年或15万公里,3挡DHT,1.5T 163马力 L4,三厢车,92号
吉利银河,中大型车,插电式混合动力,2025-05-09,4门5座三厢车,16.58万,六年或15万公里,3挡DHT,1.5T 163马力 L4,三厢车,92号
欧拉,小型车,纯电动,2025-06-27,5门5座两厢车,8.38万,四年或15万公里,,,两厢车,
欧拉,小型车,纯电动,2025-06-27,5门5座两厢车,9.38万,四年或15万公里,,,两厢车,
欧拉,小型车,纯电动,2025-06-27,5门5座两厢车,10.38万,四年或15万公里,,,两厢车,
奥迪AUDI,中型车,纯电动,2025-09-16,5门5座旅行车,23.59万,三年或10万公里,,,旅行车,
奥迪AUDI,中型车,纯电动,2025-09-16,5门5座旅行车,26.99万,三年或10万公里,,,旅行车,
奥迪AUDI,中型车,纯电动,2025-09-16,5门5座旅行车,26.99万,三年或10万公里,,,旅行车,
奥迪AUDI,中型车,纯电动,2025-11-21,5门5座旅行车,27.99万,三年或10万公里,,,旅行车,
奥迪AUDI,中型车,纯电动,2025-09-16,5门5座旅行车,31.99万,三年或10万公里,,,旅行车,
奥迪,中型SUV,纯电动,2026-04-10,5门5座SUV,33.98万,三年或10万公里,,,SUV,
奥迪,中型SUV,纯电动,2026-04-10,5门5座SUV,27.98万,三年或10万公里,,,SUV,
奥迪,中型SUV,纯电动,2026-04-10,5门5座SUV,39.98万,三年或10万公里,,,SUV,
奥迪,中型SUV,纯电动,2025-08-07,5门5座SUV,36.98万,三年或10万公里,,,SUV,
奥迪,中型SUV,纯电动,2025-08-07,5门5座SUV,39.98万,三年或10万公里,,,SUV,
蔚来,中型SUV,纯电动,2026-04-02,5门5座SUV跨界车,35.80万,三年或12万公里,,,SUV跨界车,
蔚来,中型SUV,纯电动,2026-04-02,5门5座SUV跨界车,37.00万,三年或12万公里,,,SUV跨界车,
岚图汽车,中大型MPV,插电式混合动力,2026-04-11,5门7座MPV,31.59万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-09-15,5门7座MPV,32.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-09-15,5门7座MPV,35.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-09-15,5门7座MPV,35.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-09-15,5门7座MPV,38.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-09-15,5门7座MPV,42.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2026-01-13,5门7座MPV,45.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-11-21,5门4座MPV,70.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,纯电动,2025-09-15,5门7座MPV,36.99万,五年或10万公里,电动车单速变速箱,纯电动,MPV,-
岚图汽车,中大型MPV,纯电动,2025-09-15,5门7座MPV,39.99万,五年或10万公里,电动车单速变速箱,纯电动,MPV,-
岚图汽车,中大型MPV,纯电动,2025-09-15,5门7座MPV,43.99万,五年或10万公里,电动车单速变速箱,纯电动,MPV,-
岚图汽车,中大型MPV,插电式混合动力,2026-03-10,5门7座MPV,30.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2024-09-19,5门7座MPV,32.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2025-02-19,5门7座MPV,35.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
岚图汽车,中大型MPV,插电式混合动力,2024-09-19,5门7座MPV,35.99万,五年或10万公里,1挡DHT,1.5T 150马力 L4,MPV,95号
